iter	RMSE
0	0.9298977844
1	0.8598380982
2	0.7993983283
3	0.7417382978
4	0.6912708829
5	0.6484240649
6	0.6054249035
7	0.5671738342
8	0.5322001984
9	0.4998115015
10	0.4717346534
11	0.4462606464
12	0.4233117028
13	0.4016638341
14	0.3820503724
15	0.3637098397
16	0.348412946
17	0.3349887999
18	0.3229914912
19	0.3115517628
20	0.302599005
21	0.2937719789
22	0.2858277039
23	0.2790985515
24	0.2729359046
25	0.2670855692
26	0.2622298049
27	0.2582917685
28	0.254716548
29	0.2512019473
30	0.2477221029
31	0.2448271683
32	0.2421677261
33	0.2394620071
34	0.2369813595
35	0.2348673661
36	0.2329846281
37	0.2314324673
38	0.2299098408
39	0.2283413236
40	0.2270329459
41	0.2256135689
42	0.2242086548
43	0.2231361802
44	0.2219541221
45	0.2208288672
46	0.2198721838
47	0.2191447183
48	0.2183239466
49	0.2172932084
50	0.2164623473
51	0.2155321265
52	0.2146833212
53	0.2140496632
54	0.213451404
55	0.2127482855
56	0.2123362711
57	0.2115161824
58	0.2110151647
59	0.2105355426
60	0.2098577742
61	0.2092095262
62	0.2086149487
63	0.2082237609
64	0.2077596306
65	0.2071168561
66	0.2068708109
67	0.2063650387
68	0.2058768408
69	0.2052047213
70	0.2049828133
71	0.2043440999
72	0.2039481352
73	0.2034886489
74	0.2032249001
75	0.202749778
76	0.2019150782
77	0.2017149691
78	0.2012960671
79	0.2008595189
80	0.2004100901
81	0.2001347622
82	0.1995879502
83	0.1994742032
84	0.1994265139
85	0.1987476022
86	0.1985320679
87	0.198290007
88	0.1980208983
89	0.1975907899
90	0.1972472003
91	0.196817264
92	0.1966680184
93	0.1964982288
94	0.1964131605
95	0.1959604873
96	0.1958901835
97	0.1953428854
98	0.1946047886
99	0.1943446381
