iter	Passed	Remaining
0	144	14262
1	144	7085
2	145	4690
3	145	3493
4	146	2774
5	146	2294
6	146	1952
7	147	1695
8	147	1495
9	148	1334
10	148	1203
11	149	1094
12	149	1001
13	150	922
14	150	853
15	151	792
16	151	739
17	151	692
18	152	649
19	152	611
20	153	577
21	153	545
22	154	517
23	154	490
24	155	466
25	156	444
26	156	423
27	157	404
28	157	386
29	158	369
30	158	353
31	159	338
32	159	324
33	160	311
34	160	298
35	161	287
36	162	275
37	162	265
38	163	255
39	163	245
40	164	236
41	164	227
42	165	219
43	165	211
44	166	203
45	166	195
46	167	188
47	167	181
48	168	175
49	168	168
50	169	162
51	170	156
52	170	151
53	171	145
54	171	140
55	172	135
56	172	130
57	173	125
58	173	120
59	174	116
60	174	111
61	175	107
62	176	103
63	176	99
64	177	95
65	177	91
66	178	87
67	178	84
68	179	80
69	179	77
70	180	73
71	180	70
72	181	67
73	181	63
74	182	60
75	182	57
76	183	54
77	183	51
78	184	49
79	185	46
80	185	43
81	186	40
82	186	38
83	187	35
84	187	33
85	188	30
86	188	28
87	189	25
88	189	23
89	190	21
90	190	18
91	191	16
92	191	14
93	192	12
94	192	10
95	193	8
96	193	5
97	194	3
98	194	1
99	195	0
